Acronym,Definition,Comment,Link,CreatedAt,CreatedBy,UpdatedAt,UpdatedBy
9,Availability: 90% (one nine),Downtime per year: ~36.53 [days],https://en.wikipedia.org/wiki/High_availability,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
99,Availability: 99% (two nines),Downtime per year:  ~3.65 [days],https://en.wikipedia.org/wiki/High_availability,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
321,3-2-1 rule,"The 3-2-1 rule says there should be at least three copies or versions of data stored on two different pieces of media, one of which is off-site",https://www.thebroadcastbridge.com/content/entry/13084/protect-your-data-with-a-b-c-and-3-2-1,2023-01-19T14:35:00Z,GW,2023-01-19T14:35:00Z,GW
999,Availability: 99.9% (three nines),Downtime per year:  ~8.77 [hours],https://en.wikipedia.org/wiki/High_availability,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
9999,Availability: 99.99% (four nines),Downtime per year: ~52.60 [minutes],https://en.wikipedia.org/wiki/High_availability,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
99999,Availability: 99.999% (five nines),Downtime per year: ~5.26 [minutes],https://en.wikipedia.org/wiki/High_availability,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
999999,Availability: 99.9999% (six nines),Downtime per year: ~31.56 [seconds],https://en.wikipedia.org/wiki/High_availability,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
9999999,Availability: 99.99999% (seven nines),Downtime per year: ~3.16 [seconds],https://en.wikipedia.org/wiki/High_availability,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
2FA,Two-Factor Authentication ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
AAA,Authentication Authorization Accounting/Auditing,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
AAAA,Administration Authentication Authorization Auditing,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
ABAC,Attribute-based access control ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
ABC,"ABC rule, Archive Backup Cloning","A-B-C refers to Archive, Backup and Cloning, all of which are essential to cover all aspects of data protection and data preservation. ",https://www.thebroadcastbridge.com/content/entry/13084/protect-your-data-with-a-b-c-and-3-2-1,2023-01-19T14:35:00Z,GW,2023-01-19T14:35:00Z,GW
ACE,Access Control Entries,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
ACL,Access Control List ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
AD,Active Directory,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
ADDS,Active Directory Domain Services,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
AES,Advanced Encryption Standard ,"The Advanced Encryption Standard (AES), also known by its original name Rijndael, is a specification for the encryption of electronic data established by the U.S. National Institute of Standards and Technology (NIST) in 2001",https://en.wikipedia.org/wiki/Advanced_Encryption_Standard,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
